Nombre,edad,carrera,poder_magico
Elara,18,Hechiceria,85
Thorin,20,Alquimia,70
Lyra,19,Druidismo,60
Gandalf,22,Ilusionismo,90
Aragorn,21,Elementalismo,75
Frodo,23,Necromancia,50
Morgana,24,Necromancia,95
Sirius,19,Hechiceria,88
Nimue,20,Druidismo,77
Cedric,22,Alquimia,65
Isolde,21,Ilusionismo,82
Balthazar,23,Elementalismo,73
Luna,18,Hechiceria,91
Draco,20,Necromancia,58
Hermione,19,Alquimia,80
Severus,24,Ilusionismo,84
Raven,23,Druidismo,66
Percival,21,Elementalismo,72
Freya,22,Hechiceria,89
Merlin,25,Necromancia,97
Vivienne,19,Alquimia,66
Galahad,20,Ilusionismo,75
Cassandra,21,Druidismo,68
Orion,24,Elementalismo,78
Ariadne,22,Necromancia,83
Oberon,23,Hechiceria,90
